genres,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity
cumbia sonidera,228366.0159,0.286155615,0.69566695,0.645693384,0.007185261,0.146674658,-7.464976503,0.063796267,127.3997375,0.816007675,1,9,48.23141219
cumbia villera,223501.5185,0.198622222,0.816185185,0.740444444,4.13E-05,0.115696296,-4.872222222,0.070540741,114.4448148,0.867333333,1,7,57.40740741
cyberpunk,289050.71,0.083908589,0.452604738,0.802351582,0.448139278,0.364577388,-8.993219175,0.053021728,123.8395815,0.384832126,1,2,42.81807202
cymraeg,236067,0.0608,0.568,0.707,0,0.0673,-5.672,0.0582,171.968,0.663,1,3,58
cypriot pop,196995.6667,0.947111111,0.389666667,0.588888889,0.332145778,0.216533333,-8.491555556,0.038,101.9987778,0.751111111,1,5,0
czech contemporary classical,145554,0.588,0.4,0.157,0.475,0.0886,-21.5795,0.054,123.318,0.698,1,11,11
czech folk,168846.3333,0.647,0.350666667,0.510333333,1.95E-06,0.102833333,-7.757333333,0.048833333,155.9333333,0.486333333,1,3,13.33333333
czech hip hop,248920,0.036,0.902,0.552,0.0125,0.0705,-7.958,0.16,100.911,0.426,0,9,46
czech rock,232960,0.385,0.413,0.66,0,0.0939,-4.16,0.0552,143.476,0.511,1,6,40
czsk hip hop,248920,0.036,0.902,0.552,0.0125,0.0705,-7.958,0.16,100.911,0.426,0,9,46
d-beat,110944.7692,1.49E-05,0.237176923,0.943153846,0.150535015,0.154315385,-6.750538462,0.138523077,137.9655385,0.352046154,1,11,28.69230769
dabke,257986.4359,0.911358974,0.420564103,0.269997436,0.106605011,0.304966667,-11.82717949,0.045115385,100.0335385,0.413153846,1,0,18.41025641
dakke dak,236255.3333,0.002387333,0.701333333,0.838666667,0.150284333,0.1684,-5.328,0.0534,138.67,0.535666667,0,11,56.66666667
dallas indie,189813.5,0.13155,0.4415,0.71575,0.001000945,0.180075,-6.5505,0.044025,124.8355,0.65675,1,0,41
dance pop,231036.3104,0.177219657,0.649228885,0.683002625,0.023830375,0.178436592,-6.42274157,0.085272875,119.9197675,0.547269711,1,7,54.83874329
dance rock,248355.7177,0.173555302,0.581087952,0.679857522,0.133786531,0.19265581,-10.09896575,0.056566767,124.0590456,0.633379078,1,9,39.65462559
dance-punk,240788.6485,0.112706457,0.553424754,0.773675451,0.167646566,0.197115998,-6.258567921,0.076587211,128.2302098,0.541553924,1,7,45.75905586
dancehall,224638.9748,0.105416242,0.718742502,0.686619386,0.004018398,0.153218774,-6.1914999,0.204496229,119.7702454,0.727908144,1,10,51.8113746
dangdut,295947,0.0409,0.37,0.514,0.00115,0.283,-5.479,0.0302,126.978,0.17,1,2,55
danish classical,47160,0.993,0.49,0.0764,0.92,0.0989,-21.642,0.11,156.612,0.262,0,10,36
danish electronic,228357.3988,0.180663119,0.616220238,0.737470238,0.31828505,0.243994048,-7.097702381,0.066716071,128.1652381,0.337366667,1,10,55.16666667
danish electropop,247818,0.946,0.542,0.16,0.928,0.263,-21.672,0.0365,126.921,0.198,0,7,52
danish hip hop,231582,0.009915,0.889,0.6045,0.0434,0.0555,-6.9605,0.177,125.999,0.445,1,7,48.5
danish jazz,307105.0556,0.933611111,0.501583333,0.333238889,0.588537917,0.583083333,-17.61380556,0.076230556,125.1697778,0.642027778,1,5,10.16666667
danish metal,286774.8302,0.002970744,0.370655208,0.864053125,0.377694013,0.289112604,-9.221317708,0.066658021,121.872026,0.404764167,1,7,41.02291667
danish pop,224026.6429,0.042483571,0.742464286,0.710142857,0.033514571,0.135164286,-5.246535714,0.099407143,131.8229643,0.509071429,1,9,58.35714286
danish pop rock,357879.0476,0.401928571,0.517,0.529357143,0.30483579,0.381504762,-9.72547619,0.033445238,118.9932381,0.463357143,1,2,48.54761905
danish post-punk,288347,0.000174,0.555,0.976,0.911,0.206,-5.513,0.0413,111.207,0.0397,1,11,29
danish rock,256791.8854,0.001203694,0.449229167,0.893958333,0.218147859,0.27339375,-7.565,0.056695833,116.1155729,0.42915625,1,7,46.19791667
danish singer-songwriter,288347,0.000174,0.555,0.976,0.911,0.206,-5.513,0.0413,111.207,0.0397,1,11,29
dansband,176213.5,0.472625,0.4655,0.61225,0.19500089,0.24545,-8.66875,0.050925,143.22425,0.733,1,3,24.75
danseband,213187,0.691,0.369,0.505,0.00026,0.0954,-10.199,0.0771,204.212,0.79,1,7,30
dansktop,208767.9664,0.956118421,0.560397661,0.338760819,0.26054594,0.187339766,-12.55054678,0.160055848,97.34024415,0.635730994,1,10,1.722222222
danspunk,200151.1667,0.261383333,0.521,0.626,0.26,0.138933333,-6.2845,0.04665,152.2378333,0.639333333,1,7,46.66666667
dark cabaret,257249.2857,0.40065,0.547571429,0.658071429,0.145971974,0.255442857,-7.752857143,0.085271429,134.288,0.5479,0,5,43.78571429
dark disco,267103.5,0.09604,0.6225,0.7715,0.02228,0.1213,-6.5285,0.04,110.764,0.5915,0,10,44.5
dark jazz,274342.6,0.6131,0.36658,0.16207,0.713321,0.10613,-20.4718,0.04186,87.1643,0.14713,1,5,40.3
dark post-punk,270432.1759,0.070193726,0.492771759,0.715725926,0.388504593,0.207730463,-11.49959907,0.066891852,134.920388,0.494974537,1,11,36.54490741
dark techno,361842.5,0.02845055,0.77925,0.71775,0.86925,0.104225,-6.472,0.089975,126.5015,0.342,1,7,6.5
dark trap,180176.8375,0.195563292,0.692867415,0.659006515,0.04427277,0.189240556,-7.132551273,0.174614306,123.2678766,0.398336029,1,1,59.54194294
dark wave,266469.7655,0.089718276,0.495271377,0.691388228,0.331188724,0.205966997,-11.11402087,0.053363544,130.6492193,0.470784068,1,2,36.23361258
darksynth,266721.75,0.02177,0.543,0.7805,0.8085,0.1654,-6.74175,0.0368,103.24,0.13895,1,2,54
dayton indie,207553.9023,0.054566692,0.469960902,0.761931328,0.156622318,0.187422556,-6.789862155,0.069459398,136.7577193,0.435204511,1,6,46.12531328
dc hardcore,132992.2802,0.021950877,0.388919601,0.826064646,0.33573764,0.243344444,-9.899596087,0.107927302,127.8403552,0.484666712,1,7,30.7208603
